"longitude","latitude"
-122.27261,47.66354
-122.27268,47.66592
-122.27269,47.66786
-122.27276,47.67
-122.27289,47.67599
-122.27296,47.67815
-122.27297,47.68006
-122.27303,47.68199
-122.27309,47.68396
-122.27309,47.68565
-122.27325,47.69212
-122.2733,47.69444
-122.27332,47.69682
-122.27344,47.70113
-122.27347,47.70306
-122.27351,47.70538
-122.27354,47.70734
-122.27364,47.71202
-122.27371,47.71417
-122.27371,47.71628
-122.27375,47.71888
-122.2741,47.73588
-122.2741,47.73802
-122.27417,47.74011
-122.27417,47.74225
-122.27424,47.74458
-122.27433,47.74901
-122.27438,47.75091
-122.27438,47.75324
-122.27445,47.75538
-122.27452,47.75915
-122.2746,47.76379
-122.27466,47.76781
-122.2748,47.77391
-122.2748,47.776
-122.27488,47.77789
-122.27502,47.78583
-122.27509,47.79002
-122.27516,47.79192
-122.27516,47.79402
-122.27523,47.79607
-122.13824,47.69559
-122.2753,47.79839
-122.27529,47.80028
-122.27536,47.80234
-122.27544,47.80649
-122.27551,47.80859
-122.27558,47.81441
-122.27565,47.81646
-122.2757,47.81854
-122.2757,47.8206
-122.27579,47.82288
-122.27586,47.82516
-122.27586,47.82726
-122.27591,47.82912
-122.27593,47.83093
-122.276,47.83303
-122.27605,47.83548
-122.27607,47.83736
-122.27618,47.8396
-122.27621,47.84169
-122.27625,47.84354
-122.27628,47.84537
-122.27632,47.84724
-122.27646,47.85132
-122.27646,47.8532
-122.27653,47.85484
-122.27656,47.8571
-122.2766,47.85892
-122.27663,47.86096
-122.27694,47.8732
-122.27694,47.87526
-122.27706,47.87772
-122.27708,47.87952
-122.27713,47.88135
-122.27715,47.88318
-122.2772,47.88521
-122.27727,47.88726
-122.27734,47.89173
-122.27769,47.90002
-122.27934,47.91586
-122.27962,47.91783
-122.28002,47.92022
-122.2803,47.92222
-122.28065,47.92423
-122.281,47.92618
-122.28185,47.93032
-122.28227,47.93233
-122.28734,47.95202
-122.291,47.96501
-122.31395,47.72443
-121.98183,47.30508
-122.09683,47.35039
-122.09958,47.35144
-122.10233,47.35254
-122.30399,47.76151
-122.21624,47.39717
-122.22473,47.40051
-122.27028,47.41837
-122.27584,47.42056
-122.30241,47.43091
-122.30488,47.43189
-122.32899,47.4413
-122.33037,47.44185
-122.34059,47.44583
-122.34312,47.44679
-122.34586,47.4479
-122.37053,47.45746
-122.37354,47.45866
-122.38241,47.4621
-122.3993,47.46863
-122.40486,47.47078
-122.40734,47.47174
-122.40871,47.47229
-122.41009,47.47281
-122.41262,47.4738
-122.42313,47.47787
-122.42453,47.47839
-122.42587,47.47893
-122.42727,47.47947
-122.42889,47.48012
-122.43473,47.48236
-122.43748,47.48346
-122.43858,47.48387
-122.44029,47.48451
-122.44277,47.48547
-122.44524,47.48643
-122.44798,47.48753
-122.44915,47.48795
-122.45051,47.4885
-122.46515,47.49422
